id,title,authors,subjects,bookshelves,languages,download_count,media_type,copyright
11,Alice's Adventures in Wonderland,"Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature,en,63687,Text,False
37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",Autobiographical fiction; Bildungsromans; Domestic fiction; Family life -- New England -- Fiction; March family (Fictitious characters) -- Fiction; Mothers and daughters -- Fiction; New England -- Fiction; Sisters -- Fiction; Young women -- Fiction,Category: American Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels,en,50651,Text,False
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles","Christmas stories; Ghost stories; London (England) -- Fiction; Misers -- Fiction; Poor families -- Fiction; Scrooge, Ebenezer (Fictitious character) -- Fiction; Sick children -- Fiction",Category: British Literature; Category: Classics of Literature; Category: Novels; Children's Literature; Christmas,en,38570,Text,False
2591,Grimms' Fairy Tales,"Grimm, Jacob, Grimm, Wilhelm",Fairy tales -- Germany,"Category: Children & Young Adult Reading; Category: German Literature; Category: Mythology, Legends & Folklore; Category: Short Stories",en,25605,Text,False
41,The Legend of Sleepy Hollow,"Irving, Washington",Ghosts -- Fiction; New York (State) -- History -- 1775-1865 -- Fiction,"Category: American Literature; Category: Mythology, Legends & Folklore; Category: Short Stories; Children's Literature; Harvard Classics",en,25577,Text,False
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)","Bildungsromans; Canada -- History -- 1867-1914 -- Fiction; Country life -- Prince Edward Island -- Fiction; Friendship -- Fiction; Girls -- Fiction; Islands -- Fiction; Orphans -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature,en,23353,Text,False
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)","Courage -- Juvenile fiction; Cowardly Lion (Fictitious character) -- Juvenile fiction; Cyclones -- Juvenile fiction; Dreams -- Juvenile fiction; Fantasy literature; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Good and evil -- Juvenile fiction; Home -- Juvenile fiction; Oz (Imaginary place) -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Tin Woodman (Fictitious character) -- Juvenile fiction; Toto (Fictitious character) -- Juvenile fiction; Witches -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction",Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Children's Literature; Fantasy,en,22154,Text,False
408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",African Americans,"African American Writers; Category: Essays, Letters & Speeches; Category: History - American; Category: Politics; Category: Sociology",en,19858,Text,False
120,Treasure Island,"Stevenson, Robert Louis",Pirates -- Fiction; Sea stories; Treasure Island (Imaginary place) -- Fiction; Treasure troves -- Fiction,"Best Books Ever Listings; Category: Adventure; Category: British Literature; Category: Classics of Literature; Category: Novels; Children's Literature; Historical Fiction; Pirates, Buccaneers, Corsairs, etc.",en,19555,Text,False
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","Abolitionists -- United States -- Biography; African American abolitionists -- Biography; Douglass, Frederick, 1818-1895; Enslaved persons -- United States -- Biography",African American Writers; Category: Biographies; Category: History - American; Slavery,en,18076,Text,False
16,Peter Pan : $b [Peter and Wendy],"Barrie, J. M. (James Matthew)",Fairies -- Fiction; Fantasy literature; Never-Never Land (Imaginary place) -- Fiction; Peter Pan (Fictitious character) -- Fiction; Pirates -- Fiction,Category: Adventure; Category: British Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature; Movie Books,en,15303,Text,False
514,Little Women,"Alcott, Louisa May",Autobiographical fiction; Bildungsromans; Domestic fiction; Family life -- New England -- Fiction; March family (Fictitious characters) -- Fiction; Mothers and daughters -- Fiction; New England -- Fiction; Sisters -- Fiction; Young women -- Fiction,Category: American Literature; Category: Classics of Literature; Category: Novels; Children's Literature,en,14821,Text,False
20203,Autobiography of Benjamin Franklin,"Franklin, Benjamin","Franklin, Benjamin, 1706-1790; Statesmen -- United States -- Biography",Category: American Literature; Category: Biographies; Category: History - American; Harvard Classics,en,14157,Text,False
17199,"Golden Days for Boys and Girls, Vol. XII, Jan. 3, 1891",Various,Children's literature -- Periodicals,Category: Adventure; Category: Children & Young Adult Reading; Golden Days for Boys and Girls,en,13880,Text,False
12,Through the Looking-Glass,"Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,Best Books Ever Listings; Category: British Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Literature,en,12167,Text,False
815,Democracy in America — Volume 1,"Tocqueville, Alexis de",Democracy -- United States; United States -- Politics and government; United States -- Social conditions,Category: History - American; Category: Politics; Category: Sociology,en,12088,Text,False
45502,How the Other Half Lives: Studies Among the Tenements of New York,"Riis, Jacob A. (Jacob August)",Poor -- New York (State) -- New York; Tenement houses -- New York (State) -- New York,Category: History - American; Category: Sociology,en,11310,Text,False
67098,Winnie-the-Pooh,"Milne, A. A. (Alan Alexander)",Animals -- Juvenile fiction; Christopher Robin (Fictitious character) -- Juvenile fiction; Eeyore (Fictitious character) -- Juvenile fiction; Piglet (Fictitious character) -- Juvenile fiction; Teddy bears -- Juvenile fiction; Toys -- Juvenile fiction; Winnie-the-Pooh (Fictitious character) -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Humour; Category: Novels,en,11153,Text,False
57426,Baron Trump's Marvellous Underground Journey,"Lockwood, Ingersoll","Adventure stories; Conduct of life -- Juvenile fiction; Courtship -- Juvenile fiction; Dogs -- Juvenile fiction; Fantasy fiction; Kings and rulers -- Juvenile fiction; Queens -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Voyages, Imaginary -- Juvenile fiction; Wit and humor, Juvenile; Youth -- Conduct of life -- Juvenile fiction; Youth and death -- Juvenile fiction",Category: Adventure; Category: Children & Young Adult Reading; Category: Novels; Category: Science-Fiction & Fantasy,en,10477,Text,False
147,Common Sense,"Paine, Thomas",Monarchy -- Early works to 1800; Political science -- Early works to 1800; United States -- Politics and government -- 1775-1783,"Category: Essays, Letters & Speeches; Category: History - American; Category: History - British; Category: History - Modern (1750+); Category: Politics",en,10119,Text,False
17396,The Secret Garden,"Burnett, Frances Hodgson",Gardens -- Juvenile fiction; Orphans -- Juvenile fiction; People with disabilities -- Juvenile fiction; Yorkshire (England) -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Literature,en,9730,Text,False
236,The Jungle Book,"Kipling, Rudyard","Adventure stories, English; Animals -- Fiction; Feral children -- Fiction; India -- Fiction; India -- History -- 19th century -- Fiction; Jungle animals -- Fiction; Jungles -- Fiction; Mowgli (Fictitious character) -- Fiction; Short stories",Category: Adventure; Category: British Literature; Category: Children & Young Adult Reading; Category: Short Stories; Children's Literature; Contemporary Reviews; Movie Books; Nobel Prizes in Literature; Scouts,en,9492,Text,False
